"","country","iso3","g.whoregion","row.rank.ret","year.ret","source.ret","all.areas.covered.ret","surv.quality.ret","dst.rlt.ret","mdr.ret","mdr.ret.pcnt","mdr.ret.pcnt.lo","mdr.ret.pcnt.hi","dr.r.nh.ret","dr.r.nh.ret.pcnt","dr.r.nh.ret.pcnt.lo","dr.r.nh.ret.pcnt.hi","xpert.ret","xpert.dr.r.ret","xpert.dr.r.ret.pcnt","xpert.dr.r.ret.pcnt.lo","xpert.dr.r.ret.pcnt.hi","r.rlt.ret","rr.ret","rr.ret.pcnt","rr.ret.pcnt.lo","rr.ret.pcnt.hi","dst.rlt.hr.ret","dst.rlt.hr.ret.pcnt","dst.rlt.hr.ret.pcnt.lo","dst.rlt.hr.ret.pcnt.hi","dst.rlt.rr.ret","dst.rlt.rr.ret.pcnt","dst.rlt.rr.ret.pcnt.lo","dst.rlt.rr.ret.pcnt.hi","dr.h.nr.ret","dr.h.nr.ret.pcnt","dr.h.nr.ret.pcnt.lo","dr.h.nr.ret.pcnt.hi"
"87","Bahamas","BHS","AMR",5,2010,"Surveillance",1,"A",2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"88","Bosnia and Herzegovina","BIH","EUR",1,2022,"Surveillance",1,"A",26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"89","Bosnia and Herzegovina","BIH","EUR",2,2021,"Surveillance",1,"A",24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"90","Bosnia and Herzegovina","BIH","EUR",3,2016,"Surveillance",1,"A",52,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"91","Bosnia and Herzegovina","BIH","EUR",4,2013,"Surveillance",1,"A",63,1,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"92","Bosnia and Herzegovina","BIH","EUR",5,2012,"Surveillance",1,"A",66,3,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"93","Bosnia and Herzegovina","BIH","EUR",6,2011,"Surveillance",1,"A",41,4,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"94","Bosnia and Herzegovina","BIH","EUR",7,2010,"Surveillance",1,"A",47,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"95","Bosnia and Herzegovina","BIH","EUR",8,2009,"Surveillance",1,"A",66,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"96","Bosnia and Herzegovina","BIH","EUR",9,2007,"pre-2010 TME data collection",1,"A",156,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Bosnia and Herzegovina","BIH","EUR",10,2006,"pre-2010 TME data collection",1,"A",93,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Bosnia and Herzegovina","BIH","EUR",11,2005,"Surveillance",1,"A",106,7,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
"99","Bosnia and Herzegovina","BIH","EUR",12,2004,"Surveillance",1,"A",77,6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"100","Bosnia and Herzegovina","BIH","EUR",13,2003,"Surveillance",1,"A",91,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
"101","Bosnia and Herzegovina","BIH","EUR",14,2002,"Surveillance",1,"A",100,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"102","Bosnia and Herzegovina","BIH","EUR",15,2001,"Surveillance",1,"A",154,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"103","Bosnia and Herzegovina","BIH","EUR",16,2000,"Surveillance",1,"A",153,3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"104","Bosnia and Herzegovina","BIH","EUR",17,1999,"Surveillance",1,"A",121,3,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"105","Belarus","BLR","EUR",1,2022,"Surveillance",1,"A",520,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520,222,NA,NA,NA,149,NA,NA,NA,222,NA,NA,NA,NA,NA,NA,NA
"106","Belarus","BLR","EUR",2,2021,"Surveillance",1,"A",499,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,367,NA,NA,NA,373,NA,NA,NA,367,NA,NA,NA,NA,NA,NA,NA
"107","Belarus","BLR","EUR",3,2020,"Surveillance",1,"A",569,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569,424,NA,NA,NA,442,NA,NA,NA,424,NA,NA,NA,NA,NA,NA,NA
"108","Belarus","BLR","EUR",4,2019,"Surveillance",1,"A",523,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523,313,NA,NA,NA,305,NA,NA,NA,313,NA,NA,NA,NA,NA,NA,NA
"109","Belarus","BLR","EUR",5,2018,"Surveillance",1,"A",612,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612,425,NA,NA,NA,NA,NA,NA,NA,425,NA,NA,NA,NA,NA,NA,NA
"110","Belarus","BLR","EUR",6,2017,"Surveillance",1,"A",700,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,468,NA,NA,NA,NA,NA,NA,NA,468,NA,NA,NA,NA,NA,NA,NA
"111","Belarus","BLR","EUR",7,2016,"Surveillance",1,"A",793,568,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA
"112","Belarus","BLR","EUR",8,2015,"Surveillance",1,"A",873,597,NA,NA,NA,3,NA,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"113","Belarus","BLR","EUR",9,2014,"Surveillance",1,"A",845,584,NA,NA,NA,4,NA,NA,NA,32,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"114","Belarus","BLR","EUR",10,2013,"Surveillance",1,"A",1097,598,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"115","Belarus","BLR","EUR",11,2012,"Surveillance",1,"A",1183,811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Belarus","BLR","EUR",12,2011,"Survey",1,"A",410,NA,75.6,72.1,78.8,NA,1.5,0.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,1.3,3.7
"117","Belize","BLZ","AMR",1,2022,"Surveillance",1,"A",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"118","Belize","BLZ","AMR",2,2013,"Surveillance",1,"R",3,3,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"119","Bolivia (Plurinational State of)","BOL","AMR",1,2020,"Surveillance",1,"A",366,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,48,NA,NA,NA,48,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA
"120","Bolivia (Plurinational State of)","BOL","AMR",2,2018,"Surveillance",1,"R",257,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,45,NA,NA,NA,19,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
"121","Bolivia (Plurinational State of)","BOL","AMR",3,2016,"Surveillance",1,"R",520,42,NA,NA,NA,8,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA
"122","Bolivia (Plurinational State of)","BOL","AMR",4,2015,"Surveillance",1,"R",460,49,NA,NA,NA,8,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA
"123","Bolivia (Plurinational State of)","BOL","AMR",5,2014,"Surveillance",1,"R",510,52,NA,NA,NA,28,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA
"124","Bolivia (Plurinational State of)","BOL","AMR",6,2012,"Surveillance",1,"R",634,71,NA,NA,NA,18,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA
"125","Bolivia (Plurinational State of)","BOL","AMR",7,2011,"Surveillance",1,"R",597,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Bolivia (Plurinational State of)","BOL","AMR",8,2010,"Surveillance",1,"R",664,106,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA
"127","Bolivia (Plurinational State of)","BOL","AMR",9,2009,"Surveillance",1,"R",670,60,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA
"128","Bolivia (Plurinational State of)","BOL","AMR",10,1996,"Survey",1,"A",107,NA,4.67,1.53,10.57,NA,14.02,8.06,22.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.61,2.09,11.81
"129","Brazil","BRA","AMR",1001,2008,"Survey",0,"A",800,NA,7.5,5.7,9.9,NA,0.5,0.1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,6,9.8
"130","Brazil","BRA","AMR",1002,1996,"Survey",0,"A",793,NA,5.42,3.92,7.3,NA,0.63,0.2,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,4.25,7.74
"131","Barbados","BRB","AMR",1,2020,"Surveillance",1,"A",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"132","Brunei Darussalam","BRN","WPR",1,2021,"Surveillance",1,"A",14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"133","Brunei Darussalam","BRN","WPR",2,2020,"Surveillance",1,"A",16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"134","Brunei Darussalam","BRN","WPR",3,2019,"Surveillance",1,"A",14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"135","Brunei Darussalam","BRN","WPR",4,2018,"Surveillance",1,"A",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"136","Brunei Darussalam","BRN","WPR",5,2017,"Surveillance",1,"A",9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"137","Brunei Darussalam","BRN","WPR",6,2016,"Surveillance",1,"A",5,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"138","Brunei Darussalam","BRN","WPR",7,2015,"Surveillance",1,"A",8,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"139","Brunei Darussalam","BRN","WPR",8,2014,"Surveillance",1,"A",5,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"140","Brunei Darussalam","BRN","WPR",9,2013,"Surveillance",1,"A",6,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"141","Brunei Darussalam","BRN","WPR",10,2012,"Surveillance",1,"A",14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"142","Brunei Darussalam","BRN","WPR",11,2011,"Surveillance",1,"A",8,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"143","Brunei Darussalam","BRN","WPR",12,2010,"Surveillance",1,"A",5,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"144","Brunei Darussalam","BRN","WPR",13,2009,"Surveillance",1,"A",13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"145","Bhutan","BTN","SEA",1,2017,"Surveillance",1,"A",9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"146","Bhutan","BTN","SEA",2,2016,"Surveillance",1,"A",33,4,NA,NA,NA,0,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"147","Bhutan","BTN","SEA",3,2011,"Survey",1,"R",40,NA,35,20.6,51.7,NA,2.5,0.1,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2.8,23.7
"148","Botswana","BWA","AFR",1,2008,"Survey",1,"A",137,NA,6.6,2.4,10.7,NA,6.6,2.4,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,0.5,6.8
"149","Botswana","BWA","AFR",2,2002,"Survey",1,"A",106,NA,10.38,5.3,17.81,NA,1.89,0.23,6.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77,1.04,9.38
"150","Botswana","BWA","AFR",3,1999,"Survey",1,"A",145,NA,8.97,4.86,14.84,NA,4.14,1.53,8.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.59,3.85,13.17
"151","Botswana","BWA","AFR",4,1996,"Survey",1,"A",114,NA,6.14,2.5,12.24,NA,1.75,0.21,6.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39,1.44,9.94
"152","Central African Republic","CAF","AFR",1001,1998,"Survey",0,"A",33,NA,18.18,6.98,35.46,NA,3.03,0.08,15.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.12,3.4,28.2
"153","Canada","CAN","AMR",1,2021,"Surveillance",1,"A",34,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,4,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"154","Canada","CAN","AMR",2,2015,"Surveillance",1,"A",64,4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"155","Canada","CAN","AMR",3,2014,"Surveillance",1,"A",56,1,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"156","Canada","CAN","AMR",4,2013,"Surveillance",1,"A",65,3,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"157","Canada","CAN","AMR",5,2012,"Surveillance",1,"A",63,1,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"158","Canada","CAN","AMR",6,2010,"Surveillance",1,"A",51,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"159","Canada","CAN","AMR",7,2009,"Surveillance",1,"A",70,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Canada","CAN","AMR",8,2008,"Surveillance",1,"A",91,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"161","Canada","CAN","AMR",9,2007,"pre-2010 TME data collection",1,"A",84,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Canada","CAN","AMR",10,2006,"Surveillance",1,"A",106,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA
"163","Switzerland","CHE","EUR",1,2021,"Surveillance",1,"R",6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"164","Switzerland","CHE","EUR",2,2015,"Surveillance",1,"A",19,4,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"165","Switzerland","CHE","EUR",3,2014,"Surveillance",1,"A",28,4,NA,NA,NA,2,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"166","Switzerland","CHE","EUR",4,2013,"Surveillance",1,"A",34,8,NA,NA,NA,2,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"167","Switzerland","CHE","EUR",5,2012,"Surveillance",1,"A",31,4,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"168","Switzerland","CHE","EUR",6,2011,"Surveillance",1,"A",40,4,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"169","Switzerland","CHE","EUR",7,2010,"Surveillance",1,"A",33,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"170","Switzerland","CHE","EUR",8,2009,"Surveillance",1,"A",41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Switzerland","CHE","EUR",9,2008,"Surveillance",1,"A",34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"172","Switzerland","CHE","EUR",10,2007,"pre-2010 TME data collection",1,"A",37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Switzerland","CHE","EUR",11,2006,"pre-2010 TME data collection",1,"A",41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Switzerland","CHE","EUR",12,2005,"Surveillance",1,"A",30,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"175","Switzerland","CHE","EUR",13,2004,"Surveillance",1,"A",29,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"176","Switzerland","CHE","EUR",14,2003,"Surveillance",1,"A",36,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"177","Switzerland","CHE","EUR",15,2002,"Surveillance",1,"A",45,7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"178","Switzerland","CHE","EUR",16,2001,"Surveillance",1,"A",59,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"179","Switzerland","CHE","EUR",17,2000,"Surveillance",1,"A",57,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"180","Switzerland","CHE","EUR",18,1999,"Surveillance",1,"A",57,6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"181","Switzerland","CHE","EUR",19,1997,"Surveillance",1,"A",40,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"182","Chile","CHL","AMR",1,2021,"Surveillance",1,"A",178,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,13,NA,NA,NA,14,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
"183","Chile","CHL","AMR",2,2020,"Surveillance",1,"A",167,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,6,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"184","Chile","CHL","AMR",3,2019,"Surveillance",1,"A",203,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,18,NA,NA,NA,14,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
"185","Chile","CHL","AMR",4,2017,"Surveillance",1,"A",101,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,6,NA,NA,NA,3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"186","Chile","CHL","AMR",5,2015,"Surveillance",1,"A",160,5,NA,NA,NA,4,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"187","Chile","CHL","AMR",6,2014,"Surveillance",1,"A",179,1,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
"188","Chile","CHL","AMR",7,2013,"Surveillance",1,"R",176,8,NA,NA,NA,3,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"189","Chile","CHL","AMR",8,2012,"Surveillance",1,"R",172,5,NA,NA,NA,5,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"190","Chile","CHL","AMR",9,2011,"Surveillance",1,"R",277,9,NA,NA,NA,9,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA
"191","Chile","CHL","AMR",10,2010,"Surveillance",1,"R",276,8,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
"192","Chile","CHL","AMR",11,2009,"Surveillance",1,"R",221,20,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA
"193","Chile","CHL","AMR",12,2008,"Surveillance",1,"R",199,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
