"","country","iso3","g.whoregion","row.rank.new","year.new","source.new","all.areas.covered.new","surv.quality.new","dst.rlt.new","mdr.new","mdr.new.pcnt","mdr.new.pcnt.lo","mdr.new.pcnt.hi","dr.r.nh.new","dr.r.nh.new.pcnt","dr.r.nh.new.pcnt.lo","dr.r.nh.new.pcnt.hi","xpert.new","xpert.dr.r.new","xpert.dr.r.new.pcnt","xpert.dr.r.new.pcnt.lo","xpert.dr.r.new.pcnt.hi","r.rlt.new","rr.new","rr.new.pcnt","rr.new.pcnt.lo","rr.new.pcnt.hi","dst.rlt.hr.new","dst.rlt.hr.new.pcnt","dst.rlt.hr.new.pcnt.lo","dst.rlt.hr.new.pcnt.hi","dst.rlt.rr.new","dst.rlt.rr.new.pcnt","dst.rlt.rr.new.pcnt.lo","dst.rlt.rr.new.pcnt.hi","dr.h.nr.new","dr.h.nr.new.pcnt","dr.h.nr.new.pcnt.lo","dr.h.nr.new.pcnt.hi"
"23","Armenia","ARM","EUR",2,2021,"Surveillance",1,"A",209,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,44,NA,NA,NA,72,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
"24","Armenia","ARM","EUR",3,2020,"Surveillance",1,"A",183,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,28,NA,NA,NA,54,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
"25","Armenia","ARM","EUR",4,2019,"Surveillance",1,"A",231,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,38,NA,NA,NA,85,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA
"26","Armenia","ARM","EUR",5,2018,"Surveillance",1,"N",250,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,51,NA,NA,NA,84,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA
"27","Armenia","ARM","EUR",6,2017,"Surveillance",1,"A",320,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,51,NA,NA,NA,79,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA
"28","Armenia","ARM","EUR",7,2016,"Surveillance",1,"A",357,55,NA,NA,NA,6,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA
"29","Armenia","ARM","EUR",8,2007,"Survey",1,"A",552,NA,9.42,7.04,12.35,NA,1.45,0.63,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.75,14.41,21.64
"30","American Samoa","ASM","WPR",1,2019,"Surveillance",1,"N",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"31","Australia","AUS","WPR",1,2022,"Surveillance",1,"N",591,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594,17,NA,NA,NA,57,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
"32","Australia","AUS","WPR",2,2021,"Surveillance",1,"N",597,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597,9,NA,NA,NA,47,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"33","Australia","AUS","WPR",3,2020,"Surveillance",1,"N",729,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,14,NA,NA,NA,64,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
"34","Australia","AUS","WPR",4,2019,"Surveillance",1,"A",700,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,17,NA,NA,NA,75,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
"35","Australia","AUS","WPR",5,2018,"Surveillance",1,"A",712,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712,24,NA,NA,NA,62,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
"36","Australia","AUS","WPR",6,2017,"Surveillance",1,"A",669,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688,13,NA,NA,NA,58,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
"37","Australia","AUS","WPR",7,2015,"Surveillance",1,"A",585,15,NA,NA,NA,6,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA
"38","Australia","AUS","WPR",8,2014,"Surveillance",1,"A",642,11,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA
"39","Australia","AUS","WPR",9,2013,"Surveillance",1,"A",570,13,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA
"40","Australia","AUS","WPR",10,2012,"Surveillance",1,"A",861,16,NA,NA,NA,4,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,NA
"41","Australia","AUS","WPR",11,2011,"Surveillance",1,"A",652,14,NA,NA,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA
