"","country","iso3","g.whoregion","row.rank","year","drs.record.type","all.areas.covered","area.desc","surv.quality","mdr.new","mdr.ret","mdr.unk","xpert.dr.r.new","xpert.dr.r.ret","rr.new","rr.ret","mdr.dst.rlt","mdr.ds.fq2li","mdr.dr.fq","mdr.dr.2li","xdr","rr.dst.rlt","rr.ds.fq2li","rr.dr.fq","rr.dr.2li","rr.dr.fq.2li","rr.dst.rlt.fq","rr.fqr","rr.fqr.pcnt","rr.fqr.pcnt.lo","rr.fqr.pcnt.hi","rs.hr.dst.rlt.fq","rs.hr.fqr.pcnt","rs.hr.fqr.pcnt.lo","rs.hr.fqr.pcnt.hi"
"82","Belarus","BLR","EUR",8,2015,"Surveillance",1,NA,"A",678,597,NA,22,14,NA,NA,1275,416,643,669,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Belarus","BLR","EUR",9,2014,"Surveillance",1,NA,"A",667,584,0,11,11,NA,NA,1251,518,177,190,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Belarus","BLR","EUR",10,2013,"Surveillance",1,NA,"A",755,598,NA,NA,NA,NA,NA,1353,1185,92,156,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Belarus","BLR","EUR",11,2011,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,612,322,128,235,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Belize","BLZ","AMR",1,2019,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"87","Belize","BLZ","AMR",2,2018,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Bermuda","BMU","AMR",1,2021,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"89","Bermuda","BMU","AMR",2,2019,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"90","Bermuda","BMU","AMR",3,2018,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Bermuda","BMU","AMR",4,2017,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Bermuda","BMU","AMR",5,2016,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Bermuda","BMU","AMR",6,2012,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Bermuda","BMU","AMR",7,2011,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Bermuda","BMU","AMR",8,2010,"Surveillance",1,NA,"A",0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Barbados","BRB","AMR",1,2020,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"97","Barbados","BRB","AMR",2,2014,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Brunei Darussalam","BRN","WPR",1,2021,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"99","Brunei Darussalam","BRN","WPR",2,2020,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"100","Brunei Darussalam","BRN","WPR",3,2019,"Surveillance",1,NA,"A",0,0,NA,NA,NA,1,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"101","Brunei Darussalam","BRN","WPR",4,2018,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Brunei Darussalam","BRN","WPR",5,2017,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Brunei Darussalam","BRN","WPR",6,2016,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Brunei Darussalam","BRN","WPR",7,2015,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Brunei Darussalam","BRN","WPR",8,2011,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Bhutan","BTN","SEA",1,2021,"Surveillance",1,NA,"N",36,0,NA,NA,NA,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,3,NA,NA,NA,NA,NA,NA,NA
"107","Bhutan","BTN","SEA",2,2019,"Surveillance",1,NA,"A",60,5,NA,NA,NA,73,5,65,NA,NA,NA,1,NA,NA,NA,NA,NA,65,6,NA,NA,NA,NA,NA,NA,NA
"108","Bhutan","BTN","SEA",3,2018,"Surveillance",1,NA,"N",46,1,NA,NA,NA,42,2,47,NA,NA,NA,0,44,43,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Botswana","BWA","AFR",1,2008,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,24,21,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Canada","CAN","AMR",1,2021,"Surveillance",1,NA,"A",5,4,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,NA,NA
"111","Canada","CAN","AMR",2,2015,"Surveillance",1,NA,"A",7,4,NA,NA,NA,NA,NA,11,8,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Canada","CAN","AMR",3,2014,"Surveillance",1,NA,"A",10,1,0,0,0,NA,NA,11,9,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Canada","CAN","AMR",4,2013,"Surveillance",1,NA,"A",12,3,0,0,0,NA,NA,15,12,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Canada","CAN","AMR",5,2012,"Surveillance",1,NA,"A",7,1,1,0,0,NA,NA,9,4,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Canada","CAN","AMR",6,2011,"Surveillance",1,NA,"A",NA,NA,19,NA,NA,NA,NA,19,16,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Canada","CAN","AMR",7,2010,"Surveillance",1,NA,"A",15,0,0,NA,NA,NA,NA,14,11,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Canada","CAN","AMR",8,2009,"Surveillance",1,NA,"A",13,2,3,NA,NA,NA,NA,18,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Canada","CAN","AMR",9,2008,"Surveillance",1,NA,"A",9,4,1,NA,NA,NA,NA,14,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Switzerland","CHE","EUR",1,2018,"Surveillance",1,NA,"N",3,1,NA,NA,NA,3,1,4,NA,NA,NA,1,4,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
