"","country","iso3","g.whoregion","row.rank.new","year.new","source.new","all.areas.covered.new","area.desc.new","surv.quality.new","dst.rlt.new","mdr.new","mdr.new.pcnt","mdr.new.pcnt.lo","mdr.new.pcnt.hi","dr.r.nh.new","dr.r.nh.new.pcnt","dr.r.nh.new.pcnt.lo","dr.r.nh.new.pcnt.hi","xpert.new","xpert.dr.r.new","xpert.dr.r.new.pcnt","xpert.dr.r.new.pcnt.lo","xpert.dr.r.new.pcnt.hi","r.rlt.new","rr.new","rr.new.pcnt","rr.new.pcnt.lo","rr.new.pcnt.hi","dst.rlt.hr.new","dst.rlt.hr.new.pcnt","dst.rlt.hr.new.pcnt.lo","dst.rlt.hr.new.pcnt.hi","dst.rlt.rr.new","dst.rlt.rr.new.pcnt","dst.rlt.rr.new.pcnt.lo","dst.rlt.rr.new.pcnt.hi","dr.h.nr.new","dr.h.nr.new.pcnt","dr.h.nr.new.pcnt.lo","dr.h.nr.new.pcnt.hi"
"22","Andorra","AND","EUR",14,2006,"pre-2010 TME data collection",1,NA,"A",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Andorra","AND","EUR",15,2005,"Surveillance",1,NA,"A",9,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"24","Andorra","AND","EUR",16,2004,"Surveillance",1,NA,"A",5,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"25","Andorra","AND","EUR",17,2003,"Surveillance",1,NA,"A",2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"26","Andorra","AND","EUR",18,2000,"Surveillance",1,NA,"A",4,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"27","Andorra","AND","EUR",19,1999,"Surveillance",1,NA,"A",6,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"28","United Arab Emirates","ARE","EMR",1,2020,"Surveillance",1,NA,"N",17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"29","Argentina","ARG","AMR",1,2005,"Survey",1,NA,"A",683,NA,2.2,1.23,3.62,NA,0.15,0,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.51,2.25,5.23
"30","Argentina","ARG","AMR",2,1999,"Survey",1,NA,"A",679,NA,1.77,0.91,3.09,NA,0.15,0,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06,1.13,3.46
"31","Armenia","ARM","EUR",1,2022,"Surveillance",1,NA,"A",233,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,36,NA,NA,NA,62,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA
"32","Armenia","ARM","EUR",2,2021,"Surveillance",1,NA,"A",209,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,44,NA,NA,NA,72,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
"33","Armenia","ARM","EUR",3,2020,"Surveillance",1,NA,"A",183,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,28,NA,NA,NA,54,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
"34","Armenia","ARM","EUR",4,2019,"Surveillance",1,NA,"A",231,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,38,NA,NA,NA,85,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA
"35","Armenia","ARM","EUR",5,2018,"Surveillance",1,NA,"N",250,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,51,NA,NA,NA,84,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA
"36","Armenia","ARM","EUR",6,2017,"Surveillance",1,NA,"A",320,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,51,NA,NA,NA,79,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA
"37","Armenia","ARM","EUR",7,2016,"Surveillance",1,NA,"A",357,55,NA,NA,NA,6,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA
"38","Armenia","ARM","EUR",8,2007,"Survey",1,NA,"A",552,NA,9.42,7.04,12.35,NA,1.45,0.63,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.75,14.41,21.64
